"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"C196","271.650","64.250","0","1nF","0603"
"LED196","272.150","62.000","90","green_150060VS75000","0603"
"IC197","250.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R197","249.625","63.170","0","1.5kR","0603"
"C197","251.650","64.250","0","1nF","0603"
"LED197","252.150","62.000","90","green_150060VS75000","0603"
"IC198","230.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R198","229.625","63.170","0","1.5kR","0603"
"C198","231.650","64.250","0","1nF","0603"
"LED198","232.150","62.000","90","green_150060VS75000","0603"
"IC199","210.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R199","209.625","63.170","0","1.5kR","0603"
"C199","211.650","64.250","0","1nF","0603"
"LED199","212.150","62.000","90","green_150060VS75000","0603"
"IC200","190.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R200","189.625","63.170","0","1.5kR","0603"
"C200","191.650","64.250","0","1nF","0603"
"LED200","192.150","62.000","90","green_150060VS75000","0603"
"IC201","170.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R201","169.625","63.170","0","1.5kR","0603"
"C201","171.650","64.250","0","1nF","0603"
"LED201","172.150","62.000","90","green_150060VS75000","0603"
"IC202","150.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R202","149.625","63.170","0","1.5kR","0603"
"C202","151.650","64.250","0","1nF","0603"
"LED202","152.150","62.000","90","green_150060VS75000","0603"
"IC203","130.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R203","129.625","63.170","0","1.5kR","0603"
"C203","131.650","64.250","0","1nF","0603"
"LED203","132.150","62.000","90","green_150060VS75000","0603"
"IC204","110.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R204","109.625","63.170","0","1.5kR","0603"
"C204","111.650","64.250","0","1nF","0603"
"LED204","112.150","62.000","90","green_150060VS75000","0603"
"IC205","90.000","65.345","90","BGS12P2L6","TSLP-6-4"
"R205","89.625","63.170","0","1.5kR","0603"
"C205","91.650","64.250","0","1nF","0603"
